Wall time,Step,Value
1643389297.6001303,50000,-19.762861251831055
1643389446.7285495,100000,-24.77436637878418
1643389598.3235838,150000,-20.29259490966797
1643389753.3726947,200000,-19.54306411743164
1643389910.699755,250000,-19.148439407348633
1643390067.375606,300000,-22.492197036743164
1643390217.5711534,350000,-22.1603946685791
1643390365.8688147,400000,-22.434423446655273
1643390513.3856206,450000,-21.38228988647461
1643390662.9170272,500000,-19.91682243347168
1643390810.834179,550000,-17.961313247680664
1643390958.753894,600000,-19.65422821044922
1643391108.2860754,650000,-17.81735610961914
1643391257.8192248,700000,-22.103595733642578
1643391405.64691,750000,-17.787145614624023
1643391552.4910214,800000,-19.713743209838867
1643391700.729855,850000,-16.067550659179688
1643391844.6236134,900000,-16.8217544555664
1643391995.3466275,950000,-21.77454376220703
1643392144.12237,1000000,-21.688974380493164
1643392295.062542,1050000,-26.631929397583008
1643392440.6343992,1100000,-21.36199951171875
1643392583.0411053,1150000,-24.797649383544922
1643392728.9941664,1200000,-21.8819637298584
1643392876.2750356,1250000,-21.0180721282959
1643393022.3923151,1300000,-19.48908042907715
1643393173.113638,1350000,-19.917871475219727
1643393318.895272,1400000,-19.907644271850586
1643393466.7054584,1450000,-18.40363121032715
1643393608.908506,1500000,-18.022117614746094
1643393750.427893,1550000,-19.069875717163086
1643393897.634936,1600000,-17.865625381469727
1643394046.5455234,1650000,-18.596708297729492
1643394193.0638077,1700000,-18.322479248046875
1643394338.5724583,1750000,-32.32540512084961
1643394484.2095559,1800000,-28.986087799072266
1643394638.738976,1850000,-17.83063507080078
1643394778.847297,1900000,-21.022871017456055
1643394923.0608025,1950000,-28.795949935913086
1643395073.7204041,2000000,-18.7689151763916
1643395221.5468142,2050000,-17.239341735839844
1643395367.8965778,2100000,-20.017894744873047
1643395516.0638065,2150000,-20.137205123901367
1643395664.7490366,2200000,-18.963876724243164
1643395815.0175302,2250000,-20.143714904785156
1643395957.0602381,2300000,-15.14891529083252
1643396103.4991949,2350000,-16.802316665649414
1643396254.3268528,2400000,-16.192832946777344
1643396403.0890582,2450000,-18.982654571533203
1643396556.2673953,2500000,-19.966455459594727
1643396704.7938457,2550000,-16.930063247680664
1643396850.710151,2600000,-20.034143447875977
1643396993.8149354,2650000,-14.991064071655273
1643397140.6483257,2700000,-17.179004669189453
1643397282.5770974,2750000,-13.638346672058105
1643397428.6205866,2800000,-16.807958602905273
1643397573.4128003,2850000,-10.930158615112305
1643397716.0594263,2900000,-14.000299453735352
1643397867.8867934,2950000,-14.984786033630371
1643398016.746533,3000000,-14.281277656555176
1643398153.9119046,3050000,-13.308260917663574
1643398297.2350953,3100000,-18.058481216430664
1643398442.2630768,3150000,-9.234740257263184
1643398586.876994,3200000,-39.6173210144043
1643398730.5360434,3250000,-10.248167037963867
1643398876.6039073,3300000,-10.513725280761719
1643399020.4090044,3350000,-12.72059440612793
1643399159.6907828,3400000,-16.22644805908203
1643399305.6206462,3450000,-14.637804985046387
1643399453.0711877,3500000,-12.494866371154785
1643399602.878377,3550000,-10.12948989868164
1643399747.5938964,3600000,-16.309804916381836
1643399894.4845588,3650000,-13.68743896484375
1643400046.2065196,3700000,-12.741660118103027
1643400191.3256035,3750000,-25.392335891723633
1643400332.8841934,3800000,-14.834342956542969
1643400480.0955122,3850000,-13.434459686279297
1643400627.718618,3900000,-13.81685733795166
1643400771.7955835,3950000,-11.610965728759766
1643400916.974887,4000000,-10.0585355758667
1643401064.3875794,4050000,-14.06260681152344
1643401209.8170412,4100000,-13.178601264953613
1643401349.9444656,4150000,-19.857501983642578
1643401498.2564268,4200000,-13.197636604309082
1643401648.056051,4250000,-15.124199867248535
1643401798.837642,4300000,-16.389280319213867
1643401942.9444172,4350000,-14.057873725891113
1643402085.8887608,4400000,-16.100555419921875
1643402231.5871882,4450000,-8.732513427734375
1643402375.4959857,4500000,-17.66632080078125
1643402520.1283128,4550000,-13.021048545837402
1643402663.6828375,4600000,-14.42615032196045
1643402811.8933043,4650000,-14.09749698638916
1643402960.2060509,4700000,-21.378597259521484
1643403109.4770875,4750000,-16.360258102416992
1643403256.0018091,4800000,-14.814019203186035
1643403404.0655475,4850000,-16.153459548950195
1643403549.612844,4900000,-16.05941390991211
1643403688.2673538,4950000,-13.704833030700684
1643403833.5755472,5000000,-12.073508262634277
1643403981.6078591,5050000,-12.001211166381836
1643404128.955002,5100000,-17.53493309020996
1643404275.1520202,5150000,-15.389583587646484
1643404424.135973,5200000,-13.26354694366455
1643404572.9937248,5250000,-12.19245719909668
1643404713.0542302,5300000,-14.461905479431152
1643404860.5219858,5350000,-14.09094524383545
1643405005.6179779,5400000,-15.152807235717773
1643405147.8812294,5450000,-14.278938293457031
1643405300.0340202,5500000,-12.249428749084473
1643405447.3215423,5550000,-10.643477439880371
1643405595.1598861,5600000,-15.288718223571777
1643405733.4565022,5650000,-18.359661102294922
1643405875.9686582,5700000,-21.374595642089844
1643406023.61181,5750000,-15.84960651397705
1643406168.6099095,5800000,-15.678646087646484
1643406314.3910232,5850000,-14.592487335205078
1643406463.201753,5900000,-15.687676429748535
1643406607.7036915,5950000,-19.860620498657227
1643406757.149063,6000000,-13.926944732666016
1643406903.1010783,6050000,-11.910172462463379
1643407051.3024542,6100000,-15.1417875289917
1643407196.7300725,6150000,-13.610002517700195
1643407346.9639578,6200000,-13.730408668518066
1643407493.3299062,6250000,-14.159976959228516
1643407637.08159,6300000,-17.04427146911621
1643407778.8067813,6350000,-12.29758071899414
1643407919.5163152,6400000,-14.811824798583984
1643408064.5657885,6450000,-11.768342971801758
1643408210.9006853,6500000,-14.76175308227539
1643408356.770115,6550000,-13.746780395507812
1643408498.351181,6600000,-18.541107177734375
1643408645.6550565,6650000,-11.942140579223633
1643408792.5215144,6700000,-12.660425186157227
1643408934.4865954,6750000,-12.97743034362793
1643409072.3750536,6800000,-9.467170715332031
1643409222.003896,6850000,-14.254817008972168
1643409372.7741435,6900000,-18.944671630859375
1643409518.8100507,6950000,-11.530235290527344
1643409670.9963105,7000000,-12.789036750793457
1643409819.3947794,7050000,-13.479606628417969
1643409971.6244273,7100000,-16.378028869628906
1643410119.108043,7150000,-12.4498872756958
1643410272.4828715,7200000,-9.783367156982422
1643410428.5000324,7250000,-12.561382293701172
1643410576.2663856,7300000,-9.785561561584473
1643410729.7999415,7350000,-14.112833023071289
1643410876.31108,7400000,-12.709904670715332
1643411024.3655527,7450000,-12.427769660949707
1643411170.0970206,7500000,-13.95656967163086
1643411309.0090399,7550000,-16.580535888671875
1643411454.0939016,7600000,-10.791511535644531
1643411600.355644,7650000,-10.95431900024414
1643411747.044319,7700000,-17.98222541809082
1643411898.4747467,7750000,-11.721867561340332
1643412048.1887827,7800000,-15.797287940979004
1643412199.1645901,7850000,-18.731674194335938
1643412344.7979596,7900000,-11.135156631469727
1643412490.443697,7950000,-16.196077346801758
1643412641.6146917,8000000,-12.52474308013916
1643412792.9629006,8050000,-12.78552532196045
1643412947.791621,8100000,-18.587345123291016
1643413096.676463,8150000,-15.896770477294922
1643413246.2798812,8200000,-19.955781936645508
1643413394.577064,8250000,-19.07679557800293
1643413539.2664351,8300000,-37.0523796081543
1643413686.2903504,8350000,-7.484888553619385
1643413831.0318115,8400000,-11.0787992477417
1643413983.4958625,8450000,-13.01344299316406
1643414130.2335157,8500000,-14.460004806518555
1643414284.1693256,8550000,-14.511163711547852
1643414432.542607,8600000,-15.375327110290527
1643414574.80296,8650000,-10.944941520690918
1643414721.4860716,8700000,-14.635526657104492
1643414871.4855285,8750000,-14.658463478088379
1643415019.5378084,8800000,-17.580135345458984
1643415165.5430229,8850000,-21.718708038330078
1643415312.1354215,8900000,-17.281579971313477
