Wall time,Step,Value
1644081866.196736,25000,9.520000457763672
1644082070.5558217,75000,10.08108139038086
1644082088.142429,80000,8.756756782531738
1644082153.449103,95000,12.967741966247559
1644082169.8492897,100000,13.09756088256836
1644082315.481305,135000,12.461538314819336
1644082331.9270642,140000,14.21212100982666
1644082590.223872,205000,9.622221946716309
1644082735.3516688,240000,8.745098114013672
1644082753.150596,245000,5.868852615356445
1644082778.020959,250000,14.703703880310059
1644082877.3046706,275000,11.906976699829102
1644083034.538454,315000,19.1200008392334
1644083056.2262642,320000,15.516129493713379
1644083113.5217974,335000,16.366666793823242
1644083135.6019092,340000,13.875
1644083190.7722344,355000,13.333333015441895
1644083213.2270436,360000,16.954545974731445
1644083326.699219,390000,18.913043975830078
1644083429.1152556,415000,10.15384578704834
1644083563.08738,450000,11.763157844543457
1644083761.8996053,500000,16.55172348022461
1644083842.7967734,520000,14.193548202514648
1644083922.4138823,540000,15.962963104248047
1644084199.9813983,610000,12.972972869873047
1644084279.545407,630000,16.639999389648438
1644084296.1664958,635000,14.13513469696045
1644084334.9047794,645000,12.764705657958984
1644084374.1218827,655000,20.0625
1644084490.550683,685000,13.057143211364746
1644084650.3142672,725000,13.78125
1644084689.124744,735000,11.742856979370117
1644084710.8833218,740000,18.5
1644084768.1360428,755000,22.0
1644084903.6362479,790000,14.862069129943848
1644084966.7306476,805000,30.769229888916016
1644085006.3564637,815000,14.514286041259766
1644085044.7109742,825000,14.666666984558105
1644085202.6008046,865000,22.85714340209961
1644085302.6630993,890000,20.869565963745117
1644085443.038479,925000,16.923076629638672
1644085460.5973957,930000,20.0
1644085580.210568,960000,22.85714340209961
1644085597.8237164,965000,22.100000381469727
1644085818.5231578,1020000,15.11111068725586
1644085857.3284652,1030000,20.0
1644086015.4502006,1070000,20.826086044311523
1644086054.8450398,1080000,21.16666603088379
1644086231.547044,1125000,21.052631378173828
1644086331.8953683,1150000,23.52941131591797
1644086635.4952762,1225000,27.5
1644086653.565359,1230000,22.4761905670166
1644086918.7287617,1295000,22.85714340209961
1644086935.4684815,1300000,20.0
1644087171.1263144,1360000,13.333333015441895
1644087229.125014,1375000,21.380952835083008
1644087311.5274508,1395000,18.571428298950195
1644087390.4250941,1415000,19.559999465942383
1644087451.7684994,1430000,27.5625
1644087509.2111766,1445000,18.454545974731445
1644087549.7065978,1455000,25.882352828979492
1644087653.4116702,1480000,20.25
1644087687.2576358,1490000,30.0
1644087710.3764353,1495000,22.952381134033203
1644087912.166683,1545000,20.0
1644087995.5418458,1565000,17.884614944458008
1644088074.90976,1585000,23.600000381469727
1644088113.84775,1595000,18.0
1644088131.1130133,1600000,25.16666603088379
1644088193.3225088,1615000,30.0
1644088654.2316687,1730000,24.380952835083008
1644088671.5281692,1735000,20.904762268066406
1644088913.1662912,1795000,19.200000762939453
1644089036.7299132,1825000,27.5
1644089060.104816,1830000,34.66666793823242
1644089077.3749475,1835000,28.235294342041016
1644089319.3501978,1895000,17.559999465942383
1644089482.4631324,1935000,20.869565963745117
1644089562.0373652,1955000,22.0
1644089603.6583252,1965000,16.79310417175293
1644089702.1223116,1990000,21.0
1644089807.5610924,2015000,20.952381134033203
1644089847.8607323,2025000,23.210525512695312
1644090068.8315492,2080000,22.4761905670166
1644090188.166128,2110000,25.83333396911621
1644090206.048843,2115000,31.46666717529297
1644090486.319474,2185000,26.66666603088379
1644090511.2550704,2190000,37.14285659790039
1644090552.3555264,2200000,27.764705657958984
1644090693.6148028,2235000,20.571428298950195
1644090813.162123,2265000,37.14285659790039
1644090893.3170102,2285000,29.705883026123047
1644090988.6461177,2310000,14.399999618530273
1644091067.8326743,2330000,24.44444465637207
1644091130.4405313,2345000,17.740739822387695
1644091172.0106964,2355000,28.235294342041016
1644091253.0319479,2375000,28.799999237060547
1644091269.5634112,2380000,29.33333396911621
1644091364.5270665,2405000,28.235294342041016
1644091387.5517719,2410000,22.60869598388672
1644091507.8177226,2440000,30.0
1644091643.215998,2475000,21.238094329833984
1644091958.4043179,2555000,20.521739959716797
1644092001.0645714,2565000,16.65517234802246
1644092023.6809728,2570000,32.0
1644092040.5858152,2575000,25.263158798217773
1644092096.696143,2590000,22.60869598388672
1644092136.3591998,2600000,25.882352828979492
1644092418.0698197,2670000,33.33333206176758
1644092442.8276181,2675000,22.736841201782227
1644092482.512546,2685000,15.714285850524902
1644092523.0158303,2695000,28.235294342041016
1644092564.1540792,2705000,27.5
1644092644.3635225,2725000,21.95652198791504
1644092683.786358,2735000,27.764705657958984
1644092763.014363,2755000,25.263158798217773
1644092801.6756785,2765000,10.534883499145508
1644092876.921321,2785000,36.0
1644093001.089744,2815000,16.85714340209961
1644093039.3003027,2825000,16.785715103149414
1644093120.39924,2845000,26.947368621826172
1644093442.1866217,2925000,22.100000381469727
1644093465.1267772,2930000,32.0
1644093521.465641,2945000,15.699999809265137
1644093560.8236742,2955000,14.342857360839844
1644093638.8305783,2975000,24.421052932739258
1644093678.7170672,2985000,18.962963104248047
1644094021.7178018,3070000,24.941177368164062
1644094045.206652,3075000,24.842105865478516
1644094204.9155579,3115000,23.117647171020508
1644094222.2929869,3120000,31.5
1644094319.7557485,3145000,22.30434799194336
1644094344.5713542,3150000,12.914285659790039
1644094429.5318444,3170000,12.4375
1644094512.5579085,3190000,19.54166603088379
1644094636.0586002,3220000,16.85714340209961
1644094653.2036402,3225000,22.5238094329834
1644094757.4438088,3250000,17.481481552124023
1644094796.4258919,3260000,14.5
1644094936.1184194,3295000,20.0
1644094975.448012,3305000,22.22222137451172
1644095113.2272866,3340000,16.85714340209961
1644095275.131115,3380000,25.882352828979492
1644095299.079932,3385000,13.264705657958984
1644095468.3106723,3425000,20.952381134033203
1644095635.8868775,3465000,18.33333396911621
1644095679.7140236,3475000,18.782608032226562
1644096000.9035237,3555000,18.461538314819336
1644096230.489012,3610000,13.800000190734863
1644096272.4701061,3620000,17.600000381469727
1644096315.1656277,3630000,15.22580623626709
1644096333.0250666,3635000,18.0
1644096371.7682402,3645000,18.782608032226562
1644096393.837346,3650000,20.869565963745117
1644096433.0892713,3660000,18.227272033691406
1644096449.615523,3665000,24.0
1644096472.770409,3670000,20.782608032226562
1644096570.1840727,3695000,20.869565963745117
1644096693.7318962,3725000,26.33333396911621
1644097102.585184,3825000,16.16666603088379
1644097261.6481106,3865000,20.045454025268555
1644097318.2564926,3880000,19.619047164916992
1644097335.6713767,3885000,25.705883026123047
1644097377.2643533,3895000,22.81818199157715
1644097417.8349314,3905000,20.0
1644097458.5627697,3915000,19.66666603088379
1644097577.1406238,3945000,21.7391300201416
1644097896.7513988,4025000,14.645161628723145
1644097918.0901399,4030000,16.75
1644097959.6830318,4040000,23.157894134521484
1644098017.743175,4055000,13.967741966247559
1644098190.5096226,4095000,18.148147583007812
1644098208.009099,4100000,15.483870506286621
1644098389.6958966,4145000,10.682927131652832
1644098468.6332881,4165000,20.0
1644098629.937685,4205000,12.17241382598877
1644098688.4233162,4220000,13.53125
1644098728.2530184,4230000,15.0
1644098970.9948552,4290000,17.5
1644099066.576201,4315000,19.130434036254883
1644099145.0083258,4335000,15.758620262145996
1644099250.0737488,4360000,24.0
1644099513.8479176,4425000,16.928571701049805
1644099555.5979369,4435000,17.31999969482422
1644099676.9022453,4465000,31.46666717529297
1644099737.7786002,4480000,23.571428298950195
1644099779.9862723,4490000,15.689655303955078
1644099863.1293225,4510000,21.047618865966797
1644099885.2959275,4515000,29.375
1644100005.9211178,4545000,28.571428298950195
1644100412.9839525,4645000,11.882352828979492
1644100455.8171072,4655000,17.423076629638672
1644100497.80082,4665000,18.66666603088379
1644100706.0557966,4715000,16.09677505493164
1644100848.58682,4750000,25.263158798217773
1644100971.9978406,4780000,25.263158798217773
1644101132.1810312,4820000,28.235294342041016
1644101453.1871476,4900000,16.428571701049805
1644101516.3338609,4915000,18.16666603088379
1644101725.19253,4965000,19.200000762939453
1644101763.363046,4975000,16.85714340209961
1644101864.7376304,5000000,18.782608032226562
1644101922.3442943,5015000,17.54166603088379
1644101962.6697648,5025000,19.538461685180664
1644102193.8763144,5080000,25.714284896850586
1644102334.706886,5115000,14.29411792755127
1644102414.426971,5135000,14.666666984558105
1644102455.9725528,5145000,15.464285850524902
1644102622.4175997,5185000,19.047618865966797
1644102643.2536218,5190000,18.0
1644103032.1165195,5285000,22.36842155456543
1644103113.0114136,5305000,23.272727966308594
1644103320.7828147,5355000,24.058822631835938
1644103337.290145,5360000,29.33333396911621
1644103377.2674851,5370000,17.77777862548828
1644103460.9154189,5390000,22.0
1644103644.1403518,5435000,17.814815521240234
1644103890.173777,5495000,20.952381134033203
1644103969.6115623,5515000,14.399999618530273
1644104010.445125,5525000,20.0
1644104076.7187014,5540000,24.842105865478516
1644104117.5563726,5550000,20.0
1644104152.2553997,5560000,18.461538314819336
1644104356.4360306,5610000,25.263158798217773
1644104379.259641,5615000,17.571428298950195
1644104435.8212674,5630000,21.81818199157715
1644104458.5137544,5635000,15.733333587646484
1644104516.3585045,5650000,11.578947067260742
1644104585.2070127,5665000,11.675675392150879
1644104627.7709537,5675000,14.814814567565918
1644104729.6769536,5700000,14.935483932495117
1644104882.2138462,5735000,18.200000762939453
1644104981.5973158,5760000,15.483870506286621
1644104999.188406,5765000,17.423076629638672
1644105254.4132717,5825000,23.272727966308594
1644105463.067273,5875000,20.0
1644105504.6404247,5885000,16.55172348022461
1644105529.1522055,5890000,16.69230842590332
1644105671.181357,5925000,25.263158798217773
1644105771.9472861,5950000,20.0
