Wall time,Step,Value
1643504659.823326,50000,-40.18418884277344
1643504847.8031888,100000,-41.319602966308594
1643505032.208975,150000,-40.69228744506836
1643505214.8090358,200000,-41.806846618652344
1643505397.730666,250000,-42.14508819580078
1643505583.344543,300000,-36.51567459106445
1643505767.6674256,350000,-43.6398811340332
1643505948.752937,400000,-38.05528259277344
1643506130.7577474,450000,-39.76100540161133
1643506319.3683333,500000,-42.27277755737305
1643506504.9152808,550000,-38.01337814331055
1643506689.690133,600000,-35.54177474975586
1643506875.4979248,650000,-40.49985122680664
1643507064.556922,700000,-35.56608963012695
1643507247.4608207,750000,-36.33427810668945
1643507427.1601684,800000,-38.3275260925293
1643507616.1031601,850000,-37.32136154174805
1643507803.7949255,900000,-37.01406478881836
1643507993.819788,950000,-38.41048049926758
1643508178.6012194,1000000,-36.3487663269043
1643508369.0195231,1050000,-34.451171875
1643508555.0134947,1100000,-40.179405212402344
1643508734.2994156,1150000,-34.82878494262695
1643508921.3197773,1200000,-38.43081283569336
1643509105.8208346,1250000,-33.88175582885742
1643509292.21756,1300000,-36.6282958984375
1643509480.5976975,1350000,-37.40263748168945
1643509663.7181225,1400000,-36.724979400634766
1643509850.018233,1450000,-36.426055908203125
1643510034.7743196,1500000,-34.91313552856445
1643510213.7188246,1550000,-40.661563873291016
1643510399.389049,1600000,-34.916351318359375
1643510585.156301,1650000,-38.38279342651367
1643510766.5276637,1700000,-35.29917526245117
1643510950.2188785,1750000,-37.76066589355469
1643511138.8063893,1800000,-36.60686111450195
1643511324.669981,1850000,-33.907039642333984
1643511505.6987774,1900000,-35.515220642089844
1643511694.740981,1950000,-37.39120101928711
1643511878.6948435,2000000,-36.44725036621094
1643512067.857631,2050000,-35.9139518737793
1643512261.1065736,2100000,-33.068885803222656
1643512448.7690096,2150000,-35.19514465332031
1643512633.8861718,2200000,-36.100032806396484
1643512819.1656098,2250000,-31.53782081604004
1643512998.496198,2300000,-37.056514739990234
1643513188.6070995,2350000,-39.20106506347656
1643513372.2974675,2400000,-38.013885498046875
1643513560.1726735,2450000,-33.94050979614258
1643513749.0642369,2500000,-30.116477966308594
1643513937.0185513,2550000,-33.9183235168457
1643514122.1713681,2600000,-33.63776397705078
1643514310.9483316,2650000,-39.47025680541992
1643514492.1451154,2700000,-40.53824234008789
1643514687.3704903,2750000,-38.123390197753906
1643514874.5347388,2800000,-34.05104064941406
1643515061.6669374,2850000,-38.704166412353516
1643515254.5195677,2900000,-36.44561767578125
1643515441.1630478,2950000,-40.49742889404297
1643515628.6651587,3000000,-32.534671783447266
1643515809.565511,3050000,-37.10651779174805
1643515991.9911852,3100000,-33.87223815917969
1643516178.5345833,3150000,-34.74658203125
1643516368.421598,3200000,-28.798437118530273
1643516559.5550094,3250000,-30.71221923828125
1643516745.0537508,3300000,-30.906152725219727
1643516936.8416119,3350000,-33.02726745605469
1643517124.7418516,3400000,-30.901979446411133
1643517304.7991376,3450000,-30.665386199951172
1643517492.1283715,3500000,-31.17949676513672
1643517680.6804934,3550000,-27.300100326538086
1643517869.4141073,3600000,-25.29122543334961
1643518059.5455718,3650000,-30.47414207458496
1643518247.258538,3700000,-27.135883331298828
1643518433.1496468,3750000,-27.64776611328125
1643518619.010901,3800000,-32.150665283203125
1643518808.934137,3850000,-31.062294006347656
1643518995.006645,3900000,-30.822633743286133
1643519183.482856,3950000,-31.80946922302246
1643519371.2671485,4000000,-28.243793487548828
1643519561.3439918,4050000,-31.33836555480957
1643519752.2166855,4100000,-31.73300552368164
1643519939.0993254,4150000,-30.784934997558594
1643520120.3776338,4200000,-32.298160552978516
1643520309.1336298,4250000,-29.92811393737793
1643520501.6680498,4300000,-31.34181022644043
1643520688.4018207,4350000,-33.855037689208984
1643520877.2229028,4400000,-32.257022857666016
1643521067.7369773,4450000,-28.24897003173828
1643521257.6813436,4500000,-31.59847640991211
1643521437.1180015,4550000,-28.03759765625
1643521627.2903793,4600000,-34.29833984375
1643521813.3117611,4650000,-29.413904190063477
1643522002.9159384,4700000,-30.912349700927734
1643522193.5367017,4750000,-28.886756896972656
1643522379.7658005,4800000,-34.63454818725586
1643522570.7843516,4850000,-31.313533782958984
1643522760.0192416,4900000,-32.984130859375
1643522959.528195,4950000,-27.80243682861328
1643523162.0644488,5000000,-32.47385787963867
1643523358.507302,5050000,-28.376789093017578
1643523550.918099,5100000,-29.83526611328125
1643523739.412695,5150000,-34.69483184814453
1643523933.029852,5200000,-30.59794044494629
1643524127.6124659,5250000,-30.55434226989746
1643524317.7799566,5300000,-29.59052276611328
1643524515.9590144,5350000,-32.64470291137695
1643524710.5292473,5400000,-34.14143753051758
1643524911.9700682,5450000,-28.772541046142578
1643525102.423451,5500000,-26.887250900268555
1643525304.8650575,5550000,-31.576841354370117
1643525500.5345879,5600000,-30.880231857299805
1643525692.1904051,5650000,-26.243024826049805
1643525882.2420797,5700000,-26.893918991088867
1643526078.396564,5750000,-25.55731773376465
1643526274.3423069,5800000,-22.95067024230957
1643526468.8201156,5850000,-26.656614303588867
