Wall time,Step,Value
1643448391.058592,50000,-27.985549926757812
1643448530.4867878,100000,-44.33618927001953
1643448668.0719562,150000,-33.546539306640625
1643448804.6733463,200000,-29.915191650390625
1643448945.773796,250000,-32.70481491088867
1643449081.5526817,300000,-34.325897216796875
1643449218.3381345,350000,-30.62990379333496
1643449347.3480341,400000,-45.36431884765625
1643449486.4521964,450000,-37.279014587402344
1643449625.6466885,500000,-22.88233757019043
1643449761.83657,550000,-30.112577438354492
1643449897.9043303,600000,-25.327350616455078
1643450033.4055977,650000,-14.520896911621094
1643450168.6049614,700000,-19.861461639404297
1643450305.9647324,750000,-7.6314802169799805
1643450438.2635283,800000,-20.958776473999023
1643450573.814062,850000,-18.7545166015625
1643450707.4415615,900000,2.7572813034057617
1643450841.107039,950000,-11.26123046875
1643450980.7702549,1000000,-10.636568069458008
1643451117.0810635,1050000,15.455008506774902
1643451250.0835872,1100000,-27.760435104370117
1643451385.1404352,1150000,-8.034496307373047
1643451522.8622265,1200000,-18.224655151367188
1643451659.0835898,1250000,-33.415199279785156
1643451795.7418003,1300000,-14.662070274353027
1643451932.5738945,1350000,-17.433002471923828
1643452071.9374664,1400000,-29.24498748779297
1643452208.8199682,1450000,-35.294830322265625
1643452346.0232728,1500000,-23.67182731628418
1643452475.7663107,1550000,-7.078174591064453
1643452613.4821768,1600000,-28.950368881225586
1643452751.9563713,1650000,-18.862546920776367
1643452891.941767,1700000,-38.72719192504883
1643453027.2495632,1750000,-22.57849884033203
1643453164.8580723,1800000,-37.23375701904297
1643453302.1036232,1850000,-24.25081443786621
1643453431.8942451,1900000,4.120331287384033
1643453573.2131102,1950000,-22.683448791503906
1643453714.6577141,2000000,-22.694015502929688
1643453852.9762256,2050000,-20.488712310791016
1643453992.2735112,2100000,-38.36811065673828
1643454130.179448,2150000,-50.77242660522461
1643454269.9913132,2200000,-33.41908645629883
1643454406.2715664,2250000,-35.47329330444336
1643454541.83279,2300000,-38.658992767333984
1643454678.858409,2350000,-41.8892707824707
1643454816.9220564,2400000,-61.10752868652344
1643454953.3710058,2450000,-57.28952407836914
1643455088.824644,2500000,-30.27288246154785
1643455227.2910345,2550000,-45.25869369506836
1643455364.09193,2600000,-56.99232864379883
1643455497.9930964,2650000,-36.138240814208984
1643455635.111705,2700000,-68.06765747070312
1643455772.4233212,2750000,-56.47513198852539
1643455908.4394004,2800000,-44.24256134033203
1643456047.1328511,2850000,-58.27622985839844
1643456186.9593003,2900000,-39.54560089111328
1643456323.0393007,2950000,-34.02214050292969
1643456461.9711814,3000000,-36.30908203125
1643456596.551413,3050000,-39.61507797241211
1643456733.2817793,3100000,-46.96394729614258
1643456871.4650624,3150000,-47.807579040527344
1643457013.6890795,3200000,-62.65132522583008
1643457155.0009344,3250000,-59.45892333984375
1643457297.6522937,3300000,-48.76606750488281
1643457440.0199828,3350000,-47.34705352783203
1643457577.4540632,3400000,-69.46692657470703
1643457718.9163697,3450000,-34.63680648803711
1643457862.4701006,3500000,-45.18732833862305
1643458006.7337239,3550000,-62.72425842285156
1643458154.207599,3600000,-57.385826110839844
