Wall time,Step,Value
1643320151.0730038,50000,-17.988021850585938
1643320325.36698,100000,-18.8736515045166
1643320494.7029405,150000,-17.98281478881836
1643320665.2835505,200000,-18.589035034179688
1643320829.1955016,250000,-15.86251449584961
1643320997.2489743,300000,-15.439321517944336
1643321170.7593598,350000,-16.04408836364746
1643321337.256489,400000,-14.04671859741211
1643321512.4229734,450000,-13.828537940979004
1643321687.39836,500000,-14.705143928527832
1643321855.2042437,550000,-13.734615325927734
1643322025.6358342,600000,-14.057077407836914
1643322194.660228,650000,-12.678853988647461
1643322370.0112972,700000,-12.639869689941406
1643322547.6941788,750000,-12.604783058166504
1643322716.8010375,800000,-14.848916053771973
1643322893.1627862,850000,-12.699066162109375
1643323067.6555707,900000,-14.19054889678955
1643323239.6324453,950000,-14.261961936950684
1643323409.3380508,1000000,-13.894487380981445
1643323584.5394173,1050000,-13.193978309631348
1643323760.6398199,1100000,-15.496651649475098
1643323928.7374794,1150000,-15.90031909942627
1643324099.4461973,1200000,-13.73597526550293
1643324277.1945202,1250000,-14.044283866882324
1643324444.730427,1300000,-14.785163879394531
1643324619.714884,1350000,-13.071359634399414
1643324799.5158234,1400000,-15.164813995361328
1643324966.833331,1450000,-12.918994903564453
1643325144.2923093,1500000,-13.019068717956543
1643325315.1581824,1550000,-14.218914985656738
1643325484.3527236,1600000,-13.815698623657227
1643325655.6303482,1650000,-14.64590835571289
1643325832.2181294,1700000,-14.059718132019043
1643326009.527792,1750000,-14.608366966247559
1643326185.1285052,1800000,-13.160859107971191
1643326361.4121387,1850000,-14.988831520080566
1643326539.4971635,1900000,-15.225610733032227
1643326709.324735,1950000,-14.030153274536133
1643326881.438038,2000000,-15.594502449035645
1643327054.856075,2050000,-14.343955993652344
1643327227.215577,2100000,-14.60034465789795
1643327397.9774892,2150000,-14.154285430908203
1643327580.7796926,2200000,-14.5551176071167
1643327754.125021,2250000,-15.99121379852295
1643327924.1055508,2300000,-13.6079740524292
1643328092.8732162,2350000,-15.918693542480469
1643328269.4769833,2400000,-15.830267906188965
1643328444.588264,2450000,-16.033424377441406
1643328615.4637542,2500000,-14.995956420898438
1643328789.7550743,2550000,-15.455741882324219
1643328964.5987718,2600000,-14.616551399230957
1643329143.2639096,2650000,-15.900918006896973
1643329312.7170415,2700000,-14.87210464477539
1643329487.898155,2750000,-14.2487211227417
1643329660.23839,2800000,-12.567835807800293
1643329835.8175936,2850000,-14.578079223632812
1643330011.2913158,2900000,-14.563986778259277
1643330187.699715,2950000,-13.029951095581055
1643330362.5994678,3000000,-13.517420768737793
1643330536.5110679,3050000,-13.81895923614502
1643330707.0561106,3100000,-14.204626083374023
1643330882.4419982,3150000,-16.220428466796875
1643331052.794356,3200000,-15.01575756072998
1643331227.1917217,3250000,-14.923537254333496
1643331402.7084498,3300000,-14.595415115356445
1643331580.1164434,3350000,-14.7672119140625
1643331755.216317,3400000,-13.9881010055542
1643331925.1592574,3450000,-14.327356338500977
1643332098.1013494,3500000,-16.137964248657227
1643332270.1837316,3550000,-15.000341415405273
1643332441.8301294,3600000,-14.717576026916504
1643332621.349998,3650000,-14.556011199951172
1643332791.9662018,3700000,-15.144912719726562
1643332965.6565664,3750000,-13.857749938964844
1643333142.1766417,3800000,-12.564653396606445
1643333309.1420634,3850000,-14.740837097167969
1643333484.0285645,3900000,-14.717720985412598
1643333660.9266942,3950000,-13.079632759094238
1643333834.8996792,4000000,-13.93664264678955
1643334007.517696,4050000,-12.783370971679688
1643334182.782426,4100000,-13.542642593383789
1643334357.0780075,4150000,-13.227046012878418
1643334522.5322077,4200000,-12.476668357849121
1643334694.7696302,4250000,-12.818079948425293
1643334865.5051312,4300000,-14.640535354614258
1643335043.105759,4350000,-14.430950164794922
1643335222.042881,4400000,-13.974842071533203
1643335397.2093158,4450000,-12.693528175354004
1643335569.6441603,4500000,-13.286317825317383
1643335749.9931068,4550000,-14.993026733398438
1643335917.8904536,4600000,-14.092950820922852
1643336093.164838,4650000,-14.154668807983398
1643336266.7415686,4700000,-14.97520637512207
1643336441.9697134,4750000,-14.070392608642578
1643336613.001347,4800000,-14.426125526428223
1643336788.9808264,4850000,-14.9168119430542
1643336962.0695908,4900000,-14.514958381652832
1643337134.9324112,4950000,-14.842500686645508
1643337306.802624,5000000,-16.437768936157227
1643337484.3238046,5050000,-13.91634750366211
1643337659.461946,5100000,-15.903670310974121
1643337836.0474195,5150000,-16.041038513183594
1643338009.656046,5200000,-15.941069602966309
1643338187.0865846,5250000,-15.3720064163208
1643338366.6088204,5300000,-18.474855422973633
1643338533.6917064,5350000,-16.470226287841797
1643338705.3893383,5400000,-15.728782653808594
1643338879.2760222,5450000,-16.989240646362305
1643339049.0309374,5500000,-16.65097999572754
1643339221.692657,5550000,-16.11124038696289
1643339391.6637983,5600000,-16.2730655670166
1643339567.2591662,5650000,-16.73859214782715
1643339738.4777098,5700000,-16.21550178527832
1643339909.878863,5750000,-15.946112632751465
1643340089.1097353,5800000,-16.255615234375
1643340266.630459,5850000,-15.2904691696167
1643340438.7289047,5900000,-14.585728645324707
1643340607.8026612,5950000,-16.177108764648438
1643340787.5824766,6000000,-16.31340789794922
1643340967.4295104,6050000,-15.823412895202637
1643341141.9840994,6100000,-14.572110176086426
1643341308.481659,6150000,-16.337392807006836
1643341483.5046968,6200000,-15.521194458007812
1643341656.5155864,6250000,-15.949742317199707
1643341828.3483305,6300000,-15.992426872253418
1643341998.134477,6350000,-16.421619415283203
1643342167.1940467,6400000,-16.820091247558594
1643342342.0100534,6450000,-16.215877532958984
1643342506.6349142,6500000,-16.015058517456055
1643342677.2280154,6550000,-15.135174751281738
1643342851.5705392,6600000,-15.723798751831055
1643343023.454071,6650000,-15.695849418640137
1643343192.765713,6700000,-15.947590827941895
