Wall time,Step,Value
1643582421.8359532,50000,-19.871131896972656
1643582589.671573,100000,-24.521509170532227
1643582755.0980465,150000,-22.476224899291992
1643582921.4700437,200000,-24.976417541503906
1643583086.7040353,250000,-23.93368148803711
1643583251.4830995,300000,-20.5753231048584
1643583417.441667,350000,-23.179630279541016
1643583575.9360175,400000,-25.076610565185547
1643583742.2883253,450000,-21.586599349975586
1643583907.0070915,500000,-19.97881507873535
1643584069.7994626,550000,-23.187353134155273
1643584233.4999776,600000,-20.64059066772461
1643584393.843894,650000,-20.407108306884766
1643584556.4576113,700000,-23.222122192382812
1643584711.346394,750000,-23.380245208740234
1643584871.0949368,800000,-20.20623016357422
1643585029.2856734,850000,-22.842676162719727
1643585187.432149,900000,-21.958044052124023
1643585348.290229,950000,-21.619916915893555
1643585506.8410797,1000000,-19.674758911132812
1643585674.7458918,1050000,-22.995908737182617
1643585842.2398489,1100000,-21.426435470581055
1643586009.331137,1150000,-22.70136260986328
1643586172.8732321,1200000,-22.69516372680664
1643586336.3587458,1250000,-20.89259147644043
1643586500.1656241,1300000,-24.717348098754883
1643586668.8335383,1350000,-23.478343963623047
1643586836.439641,1400000,-21.868078231811523
1643587007.0923169,1450000,-24.428110122680664
1643587170.332164,1500000,-22.645828247070312
1643587347.0564022,1550000,-23.44253921508789
1643587513.584684,1600000,-20.113849639892578
1643587678.87336,1650000,-22.575729370117188
1643587844.8666177,1700000,-21.500110626220703
1643588009.7915933,1750000,-27.02159881591797
1643588173.017682,1800000,-21.98435401916504
1643588336.7399788,1850000,-20.00897216796875
1643588509.081377,1900000,-15.857834815979004
1643588680.3924782,1950000,-23.377159118652344
1643588854.3069649,2000000,-19.588830947875977
1643589019.871918,2050000,-18.776384353637695
1643589188.4345474,2100000,-16.307920455932617
1643589354.2546344,2150000,-18.182147979736328
1643589525.8731048,2200000,-15.3688325881958
1643589689.0219138,2250000,-16.08599281311035
1643589847.3505113,2300000,-15.542936325073242
